ID,Nome_Produto,Categoria,Especificacoes_Tecnicas,Quantidade_Estoque,Nivel_Critico,Fornecedor,Localizacao_Corredor,Preco_Unitario_BRL
COMP-001,Processador AMD Ryzen 5 5600X,Componentes,"6 Cores, 12 Threads, 3.7GHz (4.6GHz Turbo), Socket AM4, TDP 65W",14,5,TechDistri Brasil S.A.,A-01,899.9
COMP-002,Placa-Mãe ASUS ROG Strix B550-F,Componentes,"Chipset B550, AMD AM4, ATX, DDR4, PCIe 4.0, Wi-Fi 6",8,3,TechDistri Brasil S.A.,A-02,1249.0
COMP-003,Memória RAM Kingston Fury Beast 16GB,Componentes,"16GB DDR4, Frequência 3200MHz, CL16, Dissipador de Calor Preto",45,10,Global Components Import,A-03,299.5
COMP-004,SSD Kingston NV2 1TB M.2 NVMe,Componentes,"Leitura 3500MB/s, Gravação 2100MB/s, PCIe Gen 4x4, Formato 2280",32,8,Global Components Import,A-04,389.9
COMP-005,Fonte Corsair CV550 550W,Componentes,"550W, Certificação 80 Plus Bronze, Ventoinha de 120mm, Cabeamento Fixo",3,5,Eletronicos Nordeste Ltda,B-01,349.9
PERI-001,Mouse Logi G PRO X Superlight,Periféricos,"Sem fio, Sensor HERO 25K, 63g, 5 Botões Programáveis, Preto",12,4,Logi distribuidora SP,C-01,699.0
PERI-002,Teclado Mecânico Redragon Kumara,Periféricos,"Layout ABNT2, Switch Outemu Blue, Iluminação LED Vermelha, TKL",25,6,Eletronicos Nordeste Ltda,C-02,229.9
PERI-003,Monitor LG UltraGear 24GN600,Periféricos,"24 Polegadas, IPS, Full HD, 144Hz, 1ms, FreeSync Premium",7,3,TechDistri Brasil S.A.,D-01,899.0
NET-001,Roteador TP-Link Archer AX12,Conectividade,"Wi-Fi 6, Dual Band (AX1500), 4 Antenas Externas, Tecnologia Beamforming",18,5,Cisco & TP Conexões,E-01,279.9
NET-002,Switch TP-Link TL-SG1008D,Conectividade,"8 Portas RJ45 Gigabit 10/100/1000Mbps, Caixa de Plástico, Desktop",22,5,Cisco & TP Conexões,E-02,139.9
NET-003,Cabo de Rede Cat6 Nexans 305m,Conectividade,"Cabo UTP, Categoria 6, 4 Pares, Condutor de Cobre Puro, Capa azul",6,2,Cisco & TP Conexões,E-03,749.0
IOT-001,Placa do Microcontrolador Arduino Uno R3,Microcontroladores e IoT,"ATmega328P, 14 Pinos Digitais I/O, 6 Entradas Analógicas, Conexão USB-B",50,15,Global Components Import,F-01,49.9
IOT-002,Módulo Computacional Raspberry Pi 4 Model B 4GB,Microcontroladores e IoT,"Processador Quad-core 64-bit @1.5GHz, 4GB LPDDR4 RAM, Dual micro-HDMI",2,5,Global Components Import,F-02,489.0
IOT-003,Sensor Ultrassônico HC-SR04,Microcontroladores e IoT,"Tensão de Operação 5V, Alcance de Medição 2cm a 400cm, Precisão 3mm",120,20,Maker Brasil Componentes,F-03,9.9
IOT-004,Módulo NodeMCU ESP8266 ESP-12E,Microcontroladores e IoT,"Conectividade Wi-Fi Integrada, Antena Embutida, Porta Micro-USB",65,15,Maker Brasil Componentes,F-01,24.9
FERR-001,Ferro de Solda Hikari Plus SC-60,Ferramentas,"Potência 50W, Temperatura Máxima 410°C, Resistência de Mica",15,4,Ferramentas & Cia Regional,G-01,64.9
FERR-002,Multímetro Digital Minipa ET-1002,Ferramentas,"Display LCD 3.5 Dígitos, Medição de Tensão AC/DC, Corrente DC, Resistência",9,3,Ferramentas & Cia Regional,G-02,89.9
COMP-006,Placa de Vídeo RTX 4060 Galax Click OC,Componentes,"8GB GDDR6, 128-bit, PCIe 4.0, DLSS 3, Ray Tracing, 1x HDMI, 3x DP",4,2,TechDistri Brasil S.A.,B-02,1899.0
